lineId	lineText	lineOptions	charId1	charId2	scoreEnd	SFX	BGM	Dialogue	BG	GOTO	VFX	
Mon033	The nearby town of Graem just went into chaos! People are leaving left and right!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralOpenedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthOpen:true	0				Tent	Mon034	null	
Mon034	Because of the Blue Plague?		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerNeutralOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthClosed:false	0				Tent	Mon035	null	
Mon035	(<i>The Blue Plague, a disease that's been spreading like wildfire all across Paalre.</i>)				0				Tent	Mon036	null	
Mon036	(<i>It's highly infectious, but fortunately, scientists are already in the process of discovering a cure.</i>)				0				Tent	Mon037	null	
Mon037	And what does this have to do with me?		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerNeutralOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthClosed:false	0				Tent	Mon038	null	
Mon038	You’re one of the most highly regarded doctors in Margra!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadDisapprovingMouthOpen:true	0				Tent	Mon039	null	
Mon039	Don’t you think you’ll be receiving more patients soon?		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadDisapprovingMouthOpen:true	0				Tent	Mon040	null	
Mon040	As much as I'd like to treat every Tom, Dick, and Harry that comes by...		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadDisapprovingMouthClosed:false	0				Tent	Mon041	null	
Mon041	I simply lack the supplies and energy to treat even the people of our town.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadDisapprovingMouthClosed:false	0				Tent	Mon042	null	
Mon042	*Celia clasps my hand, looking at me encouragingly.*		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerLovestruckClosedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthClosed:false	0	Clasp			Tent	Mon043	null	
Mon043	I understand that you're tired. You’ve had to keep your clinic open longer, especially during this epidemic.		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerLovestruckClosedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthOpen:true	0				Tent	Mon044	null	
Mon044	But I know you have a kind heart and can understand that everyone is suffering. Will you at least try to treat any and everyone who comes by?	Sure, I'll... see what I can do.:Mon045;I don't know...:Mon046	Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerLovestruckClosedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadSmileMouthOpen:true	0				Tent	-1	null	
Mon045	Sure, I'll... see what I can do.		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerWorriedOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadSmileMouthClosed:false	0				Tent	Mon047	null	
Mon046	I don't know...		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerWorriedOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadSmileMouthClosed:false	0				Tent	Mon047	null	
Mon047	All I'm asking is that you try.		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerWorriedClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadSmileMouthOpen:true	0				Tent	Mon048	null	
Mon048	Oh? Looks like your first patient of the day has arrived. I'll leave you to it.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerWorriedClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadSurprisedHappyMouthOpen:true	0				Tent	Mon049	null	
Mon049	*Celia turns to leave, before stopping at the door.*		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerWorriedClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthClosed:true	0				Tent	Mon050	null	
Mon050	Eliza, one more thing…		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerWorriedClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthOpen:true	0				Tent	Mon051	null	
Mon051	What is it?		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthOpen:false	0				Tent	Mon052	null	
Mon052	...		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthClosed:true	0				Tent	Mon053	null	
Mon053	No, it's nothing. Good luck!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadHappyMouthOpen:true	0				Tent	Mon054	null	
Mon054	Good morning, sir. What seems to be ailing you today?		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileOpenedMouth:true	Male Patient_HandDown_Neutral:false	0	Door			Tent	Mon055	null	
Mon055	Good morning, doctor. My apologies for cutting your conversation short.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Male Patient_HandDown_Neutral:true	0				Tent	Mon056	null	
Mon056	I just woke up a little sluggish today. I don’t think it’s anything to worry about, but the Madam insists I get checked.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Male Patient_HandDown_Neutral:true	0				Tent	Mon057	null	
Mon057	Right, let me take a look…		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileOpenedMouth:true	Male Patient_HandDown_Neutral:false	0				Tent	Mon058	null	
Mon058	*I inspect the old man…*		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileClosedMouth:true	Male Patient_HandDown_Neutral:false	0				Tent	Mon059	null	
Mon059	(<i>Yup, his heart’s rhythm is fine.</i>)		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileClosedMouth:true	Male Patient_HandDown_Neutral:false	0				Tent	Mon060	null	
Mon060	(<i>No doubt he’s simply old, and time has worn his body down.</i>)		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileClosedMouth:true	Male Patient_HandDown_Neutral:false	0				Tent	Mon061	null	
Mon061	(<i>Let’s see…</i>)	It's normal for you to experience fatigue at your age.:Mon062;Are you experiencing anything else?:Mon063	Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileClosedMouth:true	Male Patient_HandDown_Neutral:false	0				Tent	-1	flashred	
Mon062	It's normal for you to experience fatigue at your age.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileOpenedMouth:true	Male Patient_HandDown_Neutral:false	0				Tent	Mon064	null	
Mon063	Are you experiencing any other symptoms?		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileOpenedMouth:true	Male Patient_HandDown_Neutral:false	1				Tent	Mon065	null	
Mon064	Is that so? Time catches up with us all, I suppose.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Male Patient_HandDown_Neutral:true	0				Tent	Mon066	null	
Mon065	Well, I am also sweating a lot, but I did rush over here as soon as I could.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Male Patient_HandDown_Neutral:true	0				Tent	Mon066	null	
Mon066	I'll prescribe you some medicinal herbs that should lessen your burden.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileOpenedMouth:true	Male Patient_HandDown_Neutral:false	0				Tent	Mon067	null	
Mon067	Thank you, doctor.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Male Patient_HandDown_Neutral:true	0				Tent	Mon068	null	
Mon068	Alright, one down, plenty more to go.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileOpenedMouth:true	Male Patient_HandDown_Neutral:false	0				Tent	Mon069	null	
Mon069	Next patient!		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileOpenedMouth:true	Male Patient_HandDown_Neutral:false	0				Tent	Mon070	changeLoc	
Mon070	(<i>The patients today were such a pain…</i>)		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerThinkingClosedMouth:true		0				Black_Screen	Mon071	null	
Mon071	(<i>Best not think about it. It’ll only make me lose my temper.</i>)		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerCalmClosedMouth:true		0				Black_Screen	Mon072	null	
Mon072	*Sigh* Just thinking about it is giving me a headache.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmOpenedMouth:true		0	Sigh			Black_Screen	Mon073	null	
Mon073	(<i>I should just sleep…</i>)		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:true		0				Black_Screen	Tue001	changeLoc	
Tue001	A brand new day…		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralOpenedMouth:true		0				Celia_House	Tue002	null	
Tue002	Ugh… Damn, the headache is still there.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerAngryOpenedMouth:true		0	Door			Celia_House	Tue003	null	
Tue003	(<i>Goodness, have I ever experienced a headache this painful?</i>)		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerThinkingClosedMouth:true		0				Celia_House	Tue004	null	
Tue004	(<i>No more whining, I have to get ready.</i>)		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmClosedMouth:true		0				Celia_House	Tue005	changeLoc	
Tue005	Helllllooooo!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadSmileMouthOpen:true	0	Sigh			Tent	Tue006	null	
Tue006	Gosh, how are you so energetic every single day?		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerNeutralOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadSmileMouthClosed:false	0				Tent	Tue007	null	
Tue007	Heh heh! You should try greeting the day with this type of energy.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:false	Celia_HealthyBodyHandsTogether_HealthyHeadHappyMouthOpen:true	0				Tent	Tue008	null	
Tue008	*Sigh…* There’s no way anyone else wakes up like you.		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerCalmOpenedMouth:true	Celia_HealthyBodyHandsTogether_HealthyHeadHappyMouthClosed:false	0				Tent	Tue009	null	
Tue009	Ugh…		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerAngryClosedMouth:true	Celia_HealthyBodyHandsTogether_HealthyHeadHappyMouthClosed:false	0				Tent	Tue010	null	
Tue010	(<i>Curses, this pain is unrelenting.</i>)		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerAngryClosedMouth:true	Celia_HealthyBodyHandsTogether_HealthyHeadHappyMouthClosed:false	0				Tent	Tue011	null	
Tue011	Hey, are you alright?		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerAngryClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadSurprisedMouthOpen:true	0				Tent	Tue012	null	
Tue012	Wha- Yeah, I’m fine. It’s nothing.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadSurprisedMouthClosed:false	0				Tent	Tue013	null	
Tue013	No, you’re not. I know you Liz, this isn’t just “nothing”. What’s wrong?		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadDisapprovingMouthOpen:true	0				Tent	Tue014	null	
Tue014	(<i>...The one time you had to be perceptive and you chose now?</i>)		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmClosedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadDisapprovingMouthClosed:false	0				Tent	Tue015	null	
Tue015	I promise you, I’m completely alright. Don’t make a fuss.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadDisapprovingMouthClosed:false	0				Tent	Tue016	null	
Tue016	*As I proceed to turn away, Celia grabs my face.*		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:true	Celia_HealthyBodyHandUp_HealthyHeadDisapprovingMouthClosed:false	0				Tent	Tue017	null	
Tue017	Goodness! You’re heating up!		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerLovestruckClosedMouth:false	Celia_HealthyBodyHandUp_HealthyHeadSurprisedMouthOpen:true	0				Tent	Tue018	null	
Tue018	*I push her hands away before she could inspect me further.*		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerLovestruckClosedMouth:true	Celia_HealthyBodyHandUp_HealthyHeadSurprisedMouthOpen:false	0				Tent	Tue019	null	
Tue019	You’re imagining it. I’m simply dressed more than usual.		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerLovestruckOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadDisapprovingMouthClosed:false	0				Tent	Tue020	null	
Tue020	Your outfit is the same as yesterday's!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerLovestruckClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadDisapprovingMouthOpen:true	0				Tent	Tue021	null	
Tue021	…		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerWorriedClosedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadDisapprovingMouthClosed:false	0				Tent	Tue022	null	
Tue022	Look, you can stay stubborn, but can you at least promise me something?		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerWorriedClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthOpen:true	0				Tent	Tue023	null	
Tue023	*Sigh* It depends on what you’re asking.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthClosed:false	0				Tent	Tue024	null	
Tue024	You’re tending to patients, so I know things can’t be easy for you.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthOpen:true	0				Tent	Tue025	null	
Tue025	…		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerWorriedClosedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthClosed:false	0				Tent	Tue026	null	
Tue026	and I’m no doctor, so I can’t diagnose you, but please promise me you’re taking care of yourself.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerWorriedClosedMouth:false	Celia_HealthyBodyHandsTogether_HealthyHeadWorriedMouthOpen:true	0				Tent	Tue027	null	
Tue027	Please? Things are getting worse and worse outside of Margra.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerWorriedClosedMouth:false	Celia_HealthyBodyHandsTogether_HealthyHeadWorriedMouthOpen:true	0				Tent	Tue028	null	
Tue028	I don’t want things to get worse here too, okay?		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerWorriedClosedMouth:false	Celia_HealthyBodyHandsTogether_HealthyHeadWorriedMouthOpen:true	0	Ow			Tent	Tue029	null	
Tue029	(<i>This is so hard.</i>)		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerDefeatedClosedMouth:true	Celia_HealthyBodyHandsTogether_HealthyHeadWorriedMouthClosed:false	0				Tent	Tue030	null	
Tue030	*I raise my hand up to Celia’s face and… flick her on the forehead.*		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileClosedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthClosed:false	0				Tent	Tue031	null	
Tue031	Ow! What was that for?		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadSurprisedMouthOpen:true	0				Tent	Tue032	null	
Tue032	That’s a cute little speech, but I can see the bags forming under your eyes.		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadSurprisedMouthClosed:false	0				Tent	Tue033	null	
Tue033	You’re right on one thing- I’m a doctor, so I know my wellbeing better than anyone else, unlike you.		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerSmileOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadSurprisedHappyMouthClosed:false	0				Tent	Tue034	null	
Tue034	But- just for your sake, I promise you that I’m fine and will proceed to remain this way in the future.		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerSmileOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadSurprisedHappyMouthClosed:false	0				Tent	Tue035	null	
Tue035	*Celia gazes into my eyes, and I can see that she wants to retaliate but holds her tongue.*		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerSmileClosedMouth:false	Celia_HealthyBodyHandsTogether_HealthyHeadDisapprovingMouthOpen:true	0				Tent	Tue036	null	
Tue036	You… you mean a lot to me. You’re my best friend, Liz.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Celia_HealthyBodyHandsTogether_HealthyHeadWorriedMouthOpen:true	0				Tent	Tue037	null	
Tue037	Take care, alright?		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Celia_HealthyBodyHandsTogether_HealthyHeadWorriedMouthOpen:true	0				Tent	Tue038	null	
Tue038	*Celia stands her ground, waiting for my reply.*		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Celia_HealthyBodyHandsTogether_HealthyHeadWorriedMouthClosed:true	0				Tent	Tue039	null	
Tue039	… I will.		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerSmileOpenedMouth:true	Celia_HealthyBodyHandsTogether_HealthyHeadWorriedMouthClosed:false	0				Tent	Tue040	null	
Tue040	*Satisfied with my answer, she gives me a hug before turning around to leave.*		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadHappyMouthClosed:false	0	Sneeze			Tent	Tue041	null	
Tue041	(<i>And the work begins.</i>)		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:true		0				Tent	Tue042	null	
Tue042	Welcome, Madam, how may I help you today?		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileOpenedMouth:true	Female Patient_HandDown_Neutral:false	0				Tent	Tue043	null	
Tue043	Achoo! It’s been horrible, I’ve been sneezing non-stop, and to make matters worse, I have the worst fever ever!		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileClosedMouth:false	Female Patient_HandDown_Neutral:true	0				Tent	Tue044	null	
Tue044	(<i>So much for an easy day…</i>)		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmClosedMouth:true	Female Patient_HandDown_Neutral:false	0				Tent	Tue045	null	
Tue045	No worries, ma’am, I’m certain it’s nothing. Now…	Tell me more about your fever.:Tue046;Tell me more about your cold.:Tue047	Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmOpenedMouth:true	Female Patient_HandDown_Neutral:false	0				Tent	-1	null	
Tue046	Tell me more about your fever.		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerCalmOpenedMouth:true	Female Patient_HandDown_Neutral:false	1				Tent	Tue048	null	
Tue047	Tell me more about your cold.		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerCalmOpenedMouth:true	Female Patient_HandDown_Neutral:false	0				Tent	Tue049	null	
Tue048	It’s just the worst! I feel like my head's on fire!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmClosedMouth:false	Female Patient_HandDown_Neutral:true	0				Tent	Tue050	null	
Tue049	It’s terrible! Ever since I left my home, I’ve been sneezing left and right.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmClosedMouth:false	Female Patient_HandDown_Neutral:true	0				Tent	Tue050	null	
Tue050	How peculiar…		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerThinkingOpenedMouth:true	Female Patient_HandDown_Neutral:false	0				Tent	Tue051	null	
Tue051	Could this illness be?		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerThinkingOpenedMouth:true	Female Patient_HandDown_Neutral:false	0				Tent	Tue052	null	
Tue052	What? You’re not implying I’ve caught the Blue Plague, are you!?!		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerThinkingClosedMouth:false	Female Patient_HandDown_Neutral:true	0				Tent	Tue053	null	
Tue053	Well.. It’s a possibility. At this point, researchers have only deduced one trait of the Blue Plague. It causes multiple symptoms of a severe degree.		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerThinkingOpenedMouth:true	Female Patient_HandDown_Neutral:false	0				Tent	Tue054	null	
Tue054	To the point where patients afflicted with it are unable to move.		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerThinkingOpenedMouth:true	Female Patient_HandDown_Neutral:false	0	Bell			Tent	Tue055	null	
Tue055	Well, I’m moving just fine! So I must not have caught it! Just give me something for this damn fever!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerThinkingClosedMouth:false	Female Patient_HandDown_Neutral:true	0				Tent	Tue056	null	
Tue056	Of course, ma’am- here this should help you recover.		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerSmileOpenedMouth:true	Female Patient_HandDown_Neutral:false	0				Tent	Tue057	null	
Tue057	*My diagnosis was interrupted by the loud chimes of the bell tower.*		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Female Patient_HandDown_Neutral:false	0				Tent	Tue058	null	
Tue058	What in the blazes is that?!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:false	Female Patient_HandDown_Neutral:true	0				Tent	Tue059	null	
Tue059	The city bells? But why would ther-		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerThinkingOpenedMouth:true	Female Patient_HandDown_Neutral:false	0				Tent	Tue060	null	
Tue060	Oh no…		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerWorriedOpenedMouth:true	Female Patient_HandDown_Neutral:false	0				Tent	Tue061	changeLoc	
Tue061	As the city gates burst open, numerous refugees from the city of Graem poured in.				0				Crowded_Gate	Tue062	null	
Tue062	Shoving and pushing, they made their way into Margra.				0				Crowded_Gate	Tue063	null	
Tue063	Whether they carry the Blue Plague matters not.				0				Crowded_Gate	Tue064	null	
Tue064	For a doctor takes an oath to humanity, no matter the time, no matter the challenge.				0				Crowded_Gate	Tue065	null	
Tue065	This is their promise.				0				Crowded_Gate	Tue066	changeLoc	
Tue066	Gosh, what a day it’s been…		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerCalmOpenedMouth:true		0		BGM_2		Black_Screen	Tue067	null	
Tue067	The number of patients… way too many….		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmOpenedMouth:true		0				Black_Screen	Tue068	null	
Tue068	I have to rest now befo-		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralOpenedMouth:true		0				Black_Screen	Tue069	null	
Tue069	I have to rest now befo-		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralOpenedMouth:true		0				Black_Screen	Tue070	FLASHES RED	
