lineId	lineText	lineOptions	charId1	charId2	scoreEnd	SFX	BGM	Dialogue	BG	GOTO	VFX
Mon037	(<i>It's highly infectious, but fortunately, scientists are already in the process of discovering a cure.</i>)		Empty_Empty_Empty	Empty_Empty_Empty	0				Ruined_Magra	Mon038	null
Mon038	And what does this have to do with me?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon039	null
Mon039	You’re one of the most highly regarded doctors in Margra!		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon040	null
Mon040	Don’t you think you’ll be receiving more patients soon?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon041	null
Mon041	As much as I'd like to treat every Tom, Dick, and Harry that comes by...		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon042	null
Mon042	I simply lack the supplies and energy to treat even the people of our town.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon043	null
Mon043	*Celia clasps my hand, looking at me encouragingly.*		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon044	null
Mon044	I understand that you're tired. You’ve had to keep your clinic open longer, especially during this epidemic.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon045	null
Mon045	But I know you have a kind heart and can understand that everyone is suffering. Will you at least try to treat any and everyone who comes by?	Sure, I'll... see what I can do.:Mon046;I don't know...:Mon047	Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	-1	null
Mon046	Sure, I'll... see what I can do.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon048	null
Mon047	I don't know...		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon048	null
Mon048	All I'm asking is that you try.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon049	null
Mon049	Oh? Looks like your first patient of the day has arrived. I'll leave you to it.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon050	null
Mon050	*Celia turns to leave, before stopping at the door.*		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon051	null
Mon051	Eliza, one more thing…		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon052	null
Mon052	What is it?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon053	null
Mon053	...		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon054	null
Mon054	No, it's nothing. Good luck!		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon055	null
Mon055	Good morning, sir. What seems to be ailing you today?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	Mon056	null
Mon056	Good morning, doctor. My apologies for cutting your conversation short.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Male Patient_MalePatient_empty:true	0				Tent	Mon057	null
Mon057	I just woke up a little sluggish today. I don’t think it’s anything to worry about, but the Madam insists I get checked.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Male Patient_MalePatient_empty:true	0				Tent	Mon058	null
Mon058	Right, let me take a look…		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	Mon059	null
Mon059	*I inspect the old man…*		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	Mon060	null
Mon060	(<i>Yup, his heart’s rhythm is fine.</i>)		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	Mon061	null
Mon061	(<i>No doubt he’s simply old, and time has worn his body down.</i>)		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	Mon062	null
Mon062	(<i>Let’s see…</i>)	It's normal for you to experience fatigue at your age.:Mon063;Are you experiencing anything else?:Mon064	Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	-1	flashred
Mon063	It's normal for you to experience fatigue at your age.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	Mon065	null
Mon064	Are you experiencing any other symptoms?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	Mon066	null
Mon065	Is that so? Time catches up with us all, I suppose.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Male Patient_MalePatient_empty:true	0				Tent	Mon067	null
Mon066	Well, I am also sweating a lot, but I did rush over here as soon as I could.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Male Patient_MalePatient_empty:true	0				Tent	Mon067	null
Mon067	I'll prescribe you some medicinal herbs that should lessen your burden.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	Mon068	null
Mon068	Thank you, doctor.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Male Patient_MalePatient_empty:true	0				Tent	Mon069	null
Mon069	Alright, one down, plenty more to go.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	Mon070	null
Mon070	Next patient!		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Male Patient_MalePatient_empty:false	0				Tent	9999	null
